Model,Min_loss,Max_accuracy,Diff_accuracy
lstm_max_hd384_nl2_drop0.0,0.038135929380190406,0.9167999625205994,0.013199985027313232
lstm_mean_last_concat_hd256_nl3_drop0.2,0.04748874001431589,0.9165999889373779,0.007400035858154297
lstm_mean_hd256_nl3_drop0.1,0.04248996219034307,0.9165999889373779,0.007400035858154297
lstm_max_hd512_nl2_drop0.2,0.048881403057312124,0.9165999889373779,0.013000011444091797
lstm_max_hd256_nl1_drop0.2,0.04587771457347941,0.9165999889373779,0.013000011444091797
lstm_mean_hd384_nl2_drop0.1,0.031326613672203775,0.9165999889373779,0.007400035858154297
lstm_mean_hd384_nl2_drop0.0,0.030281594726364224,0.9165999889373779,0.007400035858154297
lstm_max_hd384_nl3_drop0.1,0.04765621870194251,0.9163999557495117,0.012799978256225586
lstm_mean_last_concat_hd256_nl2_drop0.3,0.04391326662080828,0.9163999557495117,0.007200002670288086
lstm_mean_hd384_nl1_drop0.2,0.0277335776797879,0.9163999557495117,0.007200002670288086
lstm_max_hd256_nl2_drop0.1,0.043438352800696155,0.9163999557495117,0.012799978256225586
lstm_mean_hd384_nl3_drop0.3,0.04648085015548083,0.9161999821662903,0.00700002908706665
lstm_mean_hd512_nl1_drop0.3_adamW_wd05,0.05184020725438022,0.9161999821662903,0.00700002908706665
lstm_mean_last_concat_hd384_nl1_drop0.1,0.030480089331248503,0.9161999821662903,0.00700002908706665
lstm_max_hd256_nl2_drop0.0,0.03819791320535587,0.9161999821662903,0.01260000467300415
lstm_max_hd256_nl2_drop0.2,0.04995344919022949,0.9161999821662903,0.01260000467300415
lstm_mean_last_concat_hd512_nl1_drop0.2,0.03144023256791018,0.9159999489784241,0.0067999958992004395
lstm_mean_hd512_nl3_drop0.3,0.027067357963285275,0.9159999489784241,0.0067999958992004395
lstm_mean_last_concat_hd384_nl3_drop0.2,0.04419479670011594,0.9159999489784241,0.0067999958992004395
lstm_mean_hd256_nl2_drop0.3,0.04227362190137113,0.9159999489784241,0.0067999958992004395
lstm_mean_hd256_nl1_drop0.1,0.02887712078766296,0.9157999753952026,0.006600022315979004
lstm_mean_last_concat_hd512_nl3_drop0.0,0.03678995581341442,0.9156000018119812,0.006400048732757568
lstm_mean_hd512_nl2_drop0.2,0.036996418294336766,0.9156000018119812,0.006400048732757568
lstm_mean_last_concat_hd256_nl3_drop0.0,0.03898998862411051,0.915399968624115,0.006200015544891357
lstm_mean_last_concat_hd256_nl2_drop0.1,0.03646818708785383,0.915399968624115,0.006200015544891357
lstm_max_hd384_nl3_drop0.0,0.042580830620694905,0.915399968624115,0.011799991130828857
lstm_max_hd512_nl1_drop0.2,0.054732832975588584,0.915399968624115,0.011799991130828857
lstm_mean_last_concat_hd512_nl2_drop0.2,0.03512759791246111,0.915399968624115,0.006200015544891357
lstm_mean_last_concat_hd384_nl2_drop0.2,0.03597013147909311,0.915399968624115,0.006200015544891357
lstm_mean_last_concat_hd256_nl1_drop0.1,0.030522115578873004,0.9151999950408936,0.006000041961669922
lstm_mean_last_concat_hd512_nl1_drop0.1,0.03105144721842468,0.9151999950408936,0.006000041961669922
lstm_mean_hd384_nl1_drop0.1,0.027773624175573546,0.9151999950408936,0.006000041961669922
lstm_max_hd384_nl1_drop0.3,0.05077984997762057,0.9149999618530273,0.011399984359741211
lstm_max_hd512_nl3_drop0.2,0.05415871679567111,0.9149999618530273,0.011399984359741211
